HIP ID,aim_parent_company_id,aim_brand_company_id,isin,HIP_industry,aim_category,parent_name,brand_name,display_name,hip_rating_currently_unavailable,hip_score (reference),earth_score (reference),legal_judgments,lobbying,board_diversity,decision_making,metrics,ceo_comp_to_employee_comp,employee_access_to_stock_options,employee_access_to_retirement_plan,employee_pay_salary,employee_pay_hourly,job_safety,hrc_score,supplier_sourcing__social_impact,women_employees,women_managers,employee_satisfaction,employee_retention,third_party_certifications__workforce_related,customer_satisfaction,community_development_investment,board_racial_diversity,management_racial_diversity,overall_racial_diversity,product__service__impact_on_people_AIM CATEGORY,HIP_industry,aim_category,display_name,energy_efficiency,ghg_emissions_scope1&2,ghg_emissions_scope3,waste_production,water_usage,carbon_reductions,renewable_power_usage,supplier_sourcing__environmental_impact,third_party_certifications__environment,product__service__impact_on_planet_AIM CATEGORY,hip_reporting
743,0,590,US7443201022,Life Insurance,Insurance - Health & Life,PRUDENTIAL FINL.,PRUDENTIAL,Prudential,n,56%,51%,0%,39%,63%,55%,39%,18%,91%,82%,84%,74%,8%,0%,90%,97%,82%,24%,80%,0%,87%,84%,0%,0%,0%,80%,Life Insurance,Insurance - Health & Life,Prudential,92%,89%,0%,75%,49%,84%,10%,77%,4%,70%,87%
744,573,574,US74460D1090,Specialty REITs,Self-Storage,Public Storage,Public Storage,Public Storage,n,54%,42%,57%,0%,53%,40%,9%,77%,94%,58%,77%,74%,47%,0%,0%,70%,81%,13%,20%,0%,100%,0%,0%,0%,59%,75%,Specialty REITs,Self-Storage,Public Storage,3%,62%,0%,20%,3%,0%,0%,46%,4%,65%,54%
745,0,635,US74838C1062,Apparel Retailers,Apparel - Athletic,Quiksilver Inc.,Quiksilver,Quiksilver,n,13%,1%,0%,0%,34%,82%,7%,100%,0%,0%,46%,0%,8%,0%,0%,0%,0%,16%,20%,0%,0%,0%,0%,0%,0%,60%,Apparel Retailers,Apparel - Athletic,Quiksilver,0%,0%,0%,0%,0%,0%,0%,0%,0%,30%,0%
746,0,0,US7512121010,Clothing & Accessory,Apparel - High End,RALPH LAUREN CL.A,RALPH LAUREN,Ralph Lauren,x,51%,55%,0%,0%,51%,51%,21%,31%,88%,0%,68%,58%,13%,90%,100%,78%,97%,6%,20%,25%,0%,93%,0%,0%,68%,60%,Clothing & Accessory,Apparel - High End,Ralph Lauren,53%,67%,0%,87%,8%,58%,10%,100%,4%,30%,79%
747,479,480,US7541981095,Restaurants & Bars,Food - Casual Dining,Rave Restaurant Group,Pie Five Pizza Co.,Pie Five Pizza Co.,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,32%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,60%,Restaurants & Bars,Food - Casual Dining,Pie Five Pizza Co.,0%,0%,0%,0%,0%,0%,0%,0%,0%,35%,0%
748,0,0,US7541981095,Restaurants & Bars,Food - Casual Dining,Rave Restaurant Group,Pizza Inn,Pizza Inn,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,32%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,60%,Restaurants & Bars,Food - Casual Dining,Pizza Inn,0%,0%,0%,0%,0%,0%,0%,0%,0%,35%,0%
749,0,0,US7567641060,Hotels,Hotel - Budget,Red Lion Hotels,Red Lion Hotel,Red Lion Hotel,x,15%,2%,47%,0%,2%,19%,1%,0%,0%,44%,0%,67%,2%,0%,70%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,75%,Hotels,Hotel - Budget,Red Lion Hotel,3%,0%,0%,20%,0%,0%,0%,69%,4%,45%,0%
750,0,0,US75689M1018,Restaurants & Bars,Food - Casual Dining,Red Robin Gourmet Burgers,Red Robin Gourmet Burgers,Red Robin Gourmet Burgers,x,27%,4%,49%,0%,99%,34%,9%,79%,75%,55%,61%,39%,4%,0%,60%,0%,0%,13%,20%,0%,90%,20%,0%,0%,0%,60%,Restaurants & Bars,Food - Casual Dining,Red Robin Gourmet Burgers,3%,54%,0%,20%,3%,2%,10%,46%,4%,35%,3%
751,0,0,US75700L1089,Gambling,Hotel - Destination/Vacation,RED ROCK RESORTS CL.A,RED ROCK RESORTS,Red Rock Resorts,n,12%,0%,0%,0%,7%,34%,9%,0%,83%,0%,0%,0%,4%,0%,70%,0%,0%,13%,20%,0%,0%,0%,0%,0%,0%,80%,Gambling,Hotel - Destination/Vacation,Red Rock Resorts,0%,0%,0%,0%,0%,0%,0%,0%,4%,45%,0%
753,535,536,US7589321071,Specialty Retailers,Barber & Beauty Shops,Regis Corp.,Supercut,Supercut,n,30%,0%,0%,0%,58%,34%,9%,43%,80%,45%,57%,44%,5%,0%,60%,42%,0%,13%,20%,0%,0%,20%,0%,0%,0%,65%,Specialty Retailers,Barber & Beauty Shops,Supercut,0%,0%,0%,0%,0%,0%,0%,0%,4%,40%,9%
754,0,0,US7602761055,Airlines,"Airlines - Regional, Midwest",Republic Airways Holdings,Republic Airways,Republic Airways,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,63%,10%,94%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,65%,Airlines,"Airlines - Regional, Midwest",Republic Airways,0%,0%,0%,0%,0%,0%,0%,0%,0%,35%,0%
755,0,0,US7602761055,Airlines,"Airlines - National, US",Republic Airways Holdings,RJET,Rjet,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,63%,10%,94%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,65%,Airlines,"Airlines - National, US",Rjet,0%,0%,0%,0%,0%,0%,0%,0%,0%,35%,0%
757,0,0,CA76131D1033,Restaurants & Bars,Food - Fast Food,RESTAURANT BRANDS INTL.,TIM HORTONS,Tim Hortons,x,35%,45%,69%,0%,7%,34%,9%,42%,92%,0%,40%,63%,7%,0%,70%,0%,0%,13%,20%,0%,86%,20%,0%,0%,0%,35%,Restaurants & Bars,Food - Fast Food,Tim Hortons,3%,68%,0%,20%,3%,0%,0%,69%,4%,35%,22%
758,305,308,US7612831005,Specialty Retailers,Home Furniture & Equipment,Restoration Hardware Holdings,Restoration Hardware,Restoration Hardware,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,57%,0%,85%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,65%,Specialty Retailers,Home Furniture & Equipment,Restoration Hardware,0%,0%,0%,0%,0%,0%,0%,0%,0%,35%,0%
761,0,0,US77467X1019,Specialty Retailers,Confectionery Stores,Rocky Mountain Chocolate Factory,Rocky Mountain Chocolate Factory,Rocky Mountain Chocolate Factory,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,62%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,45%,Specialty Retailers,Confectionery Stores,Rocky Mountain Chocolate Factory,0%,0%,0%,0%,0%,0%,0%,0%,0%,35%,0%
762,0,0,US7777801074,Internet,Education,Rosetta Stone,Rosetta Stone,Rosetta Stone,x,26%,2%,0%,0%,65%,34%,9%,0%,69%,69%,0%,58%,5%,0%,60%,0%,0%,13%,20%,0%,0%,20%,0%,0%,0%,95%,Internet,Education,Rosetta Stone,3%,0%,0%,20%,0%,0%,0%,0%,4%,80%,0%
764,0,0,LR0008862868,Recreational Services,Cruise Lines,ROYAL CARIBBEAN CRUISES,ROYAL CARIBBEAN CRUISES,Royal Caribbean Cruises,n,51%,38%,46%,0%,43%,92%,27%,87%,5%,61%,68%,0%,17%,100%,70%,56%,0%,34%,94%,100%,0%,40%,0%,0%,0%,80%,Recreational Services,Cruise Lines,Royal Caribbean Cruises,50%,31%,0%,96%,43%,63%,10%,69%,20%,30%,83%
766,0,599,US7811821005,Restaurants & Bars,Food - Casual Dining,Ruby Tuesday,Ruby Tuesday,Ruby Tuesday,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,42%,49%,33%,0%,0%,0%,0%,0%,0%,0%,0%,88%,0%,0%,0%,0%,60%,Restaurants & Bars,Food - Casual Dining,Ruby Tuesday,0%,0%,0%,0%,0%,0%,0%,0%,0%,35%,0%
767,0,0,US7833321091,Specialty Retailers,Food - Fine Dining,Ruth's Hospitality Group,Ruth Chris Steak House,Ruth Chris Steak House,x,22%,1%,0%,0%,91%,34%,9%,0%,84%,47%,0%,0%,5%,0%,70%,73%,0%,13%,20%,0%,0%,0%,0%,0%,0%,75%,Specialty Retailers,Food - Fine Dining,Ruth Chris Steak House,0%,0%,0%,0%,0%,0%,0%,46%,4%,35%,9%
768,0,0,IE00BYTBXV33,Airlines,"Airlines - International, Europe",Ryanair Holdings,Ryanair,Ryanair,n,44%,18%,0%,100%,55%,34%,9%,100%,76%,0%,78%,0%,43%,0%,60%,0%,81%,13%,20%,25%,0%,75%,0%,0%,0%,65%,Airlines,"Airlines - International, Europe",Ryanair,3%,35%,0%,30%,0%,35%,10%,0%,4%,35%,30%
772,0,0,US8123501061,Broadline Retailers,Grocery - Local,SEARS HOLDINGS,K FRESH,K Fresh,n,37%,6%,0%,0%,43%,45%,9%,87%,0%,46%,81%,54%,7%,100%,90%,97%,0%,4%,20%,0%,87%,20%,0%,0%,0%,75%,Broadline Retailers,Grocery - Local,K Fresh,3%,0%,0%,30%,0%,8%,0%,100%,4%,55%,42%
773,86,89,US8123501061,Broadline Retailers,Residential Care & Repairs,SEARS HOLDINGS,SERVICELIVE,ServiceLive,n,37%,6%,0%,0%,43%,45%,9%,87%,0%,46%,81%,54%,7%,100%,90%,97%,0%,4%,20%,0%,87%,20%,0%,0%,0%,75%,Broadline Retailers,Residential Care & Repairs,ServiceLive,3%,0%,0%,30%,0%,8%,0%,100%,4%,40%,42%
774,86,90,US8123501061,Broadline Retailers,Apparel,Sears Hometown & Outlet Stores (Sears Holding),Sears Hometown & Outlet Stores,Sears,n,37%,6%,0%,0%,43%,45%,9%,87%,0%,0%,81%,54%,7%,100%,90%,97%,0%,4%,20%,0%,87%,20%,0%,0%,0%,60%,Broadline Retailers,Apparel,Sears,3%,0%,0%,30%,0%,8%,0%,100%,4%,25%,42%
775,0,468,US81282V1008,Recreational Services,Amusement Parks,SeaWorld Entertainment,SeaWorld Entertainment,Sea World Entertainment,n,25%,4%,100%,0%,33%,45%,9%,0%,85%,54%,0%,63%,7%,0%,70%,0%,0%,13%,20%,0%,0%,20%,0%,0%,0%,80%,Recreational Services,Amusement Parks,Sea World Entertainment,3%,0%,0%,20%,3%,2%,10%,46%,4%,25%,3%
776,0,0,US81761R1095,Spec.Consumer Service,Residential Care & Repairs,SERVICEMASTER GLB.HDG.,SERVICEMASTER,ServiceMaster,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,64%,43%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,75%,Spec.Consumer Service,Residential Care & Repairs,ServiceMaster,0%,0%,0%,0%,0%,0%,0%,0%,0%,40%,0%
779,627,628,US8190471016,Restaurants & Bars,Food - Casual Dining,Shake Shack,Shake Shack,Shake Shack,n,31%,2%,100%,0%,58%,34%,9%,93%,79%,0%,59%,67%,5%,0%,0%,95%,0%,13%,20%,0%,0%,35%,0%,0%,0%,60%,Restaurants & Bars,Food - Casual Dining,Shake Shack,3%,0%,0%,20%,3%,0%,0%,69%,4%,35%,17%
780,0,0,US8248891090,Apparel Retailers,Apparel - Footwear,Shoe Carnival,Shoe Carnival,Shoe Carnival,n,25%,2%,0%,0%,36%,34%,21%,0%,85%,51%,36%,58%,27%,0%,0%,74%,86%,13%,20%,0%,0%,21%,0%,0%,0%,60%,Apparel Retailers,Apparel - Footwear,Shoe Carnival,0%,0%,0%,0%,0%,0%,0%,0%,4%,30%,17%
781,0,0,US82568P3047,Specialty Retailers,Online Retail,Shutterfly,Shutterfly,Shutterfly,n,25%,0%,0%,0%,85%,34%,9%,72%,75%,70%,43%,63%,4%,0%,0%,0%,0%,13%,20%,0%,0%,20%,0%,0%,0%,80%,Specialty Retailers,Online Retail,Shutterfly,0%,0%,0%,0%,0%,0%,0%,0%,4%,60%,0%
782,0,0,SG1V61937297,Airlines,"Airlines - International, Asia",Singapore Airlines,Singapore Airlines,Singapore Airlines,n,44%,31%,0%,0%,5%,45%,9%,100%,76%,61%,80%,0%,79%,0%,70%,83%,0%,13%,91%,100%,0%,20%,0%,0%,0%,65%,Airlines,"Airlines - International, Asia",Singapore Airlines,6%,0%,0%,30%,46%,44%,10%,69%,40%,35%,52%
784,0,401,US83001A1025,Recreational Services,Amusement Parks,Six Flags Entertainment,Six Flags Entertainment,Six Flags Entertainment,n,28%,15%,0%,0%,39%,34%,9%,43%,5%,58%,36%,49%,37%,0%,0%,66%,0%,44%,20%,0%,0%,20%,#N/A,#N/A,#N/A,80%,Recreational Services,Amusement Parks,Six Flags Entertainment,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0%,0%,25%,17%
785,0,0,US8305661055,Footwear,Apparel - Footwear,Skechers,Skechers,Skechers,x,31%,4%,55%,0%,7%,34%,9%,0%,86%,49%,47%,58%,4%,0%,70%,0%,0%,13%,20%,0%,0%,0%,0%,0%,0%,60%,Footwear,Apparel - Footwear,Skechers,3%,0%,0%,20%,3%,0%,10%,15%,4%,30%,0%
786,0,526,US83190B1017,"Food Retail,Wholesale",Grocery,Smart & Final Stores,Smart & Final Stores,Smart & Final Stores,n,20%,0%,0%,0%,33%,34%,9%,0%,41%,0%,77%,67%,4%,0%,50%,0%,0%,13%,20%,0%,0%,20%,0%,0%,0%,70%,"Food Retail,Wholesale",Grocery,Smart & Final Stores,0%,0%,0%,0%,0%,0%,0%,0%,4%,50%,0%
787,0,0,US88160R1014,Alt. Electricity,Renewable Electricity,Tesla Motors,SOLARCITY,SolarCity,n,54%,23%,0%,0%,53%,44%,9%,100%,93%,55%,71%,0%,50%,100%,0%,55%,50%,13%,20%,0%,0%,20%,0%,0%,0%,90%,Alt. Electricity,Renewable Electricity,SolarCity,44%,0%,0%,30%,40%,0%,52%,0%,0%,85%,45%
788,0,406,US83545G1022,Auto Parts,Auto Parts,Sonic Automotive,Sonic Automotive,Sonic Automotive,n,25%,1%,0%,0%,7%,33%,9%,100%,83%,61%,82%,81%,4%,0%,0%,0%,0%,13%,20%,0%,0%,0%,0%,0%,0%,45%,Auto Parts,Auto Parts,Sonic Automotive,0%,0%,0%,20%,0%,0%,0%,0%,4%,25%,0%
789,0,0,US8354511052,Restaurants & Bars,Food - Fast Food,Sonic Corp.,Sonic Drive-In,Sonic Drive In,n,26%,0%,0%,0%,85%,34%,9%,94%,79%,52%,28%,44%,4%,0%,0%,0%,0%,13%,20%,0%,0%,0%,0%,0%,0%,35%,Restaurants & Bars,Food - Fast Food,Sonic Drive In,0%,0%,0%,0%,0%,0%,0%,0%,4%,35%,1%
790,0,0,JP3435000009,Consumer Electronics,Electronics,SONY,SONY,Sony,n,60%,66%,0%,0%,30%,92%,64%,0%,72%,83%,96%,0%,75%,100%,40%,77%,65%,56%,85%,100%,0%,56%,0%,0%,0%,75%,Consumer Electronics,Electronics,Sony,57%,0%,0%,100%,51%,75%,57%,100%,60%,45%,94%
792,139,141,US8447411088,Airlines,"Airlines - National, US",SOUTHWEST AIRLINES,SOUTHWEST AIRLINES,Southwest,n,50%,33%,0%,72%,67%,92%,12%,93%,5%,75%,95%,0%,13%,100%,0%,87%,0%,28%,80%,0%,90%,57%,0%,0%,0%,65%,Airlines,"Airlines - National, US",Southwest,27%,0%,0%,71%,53%,59%,10%,0%,0%,35%,89%
793,0,402,US8477881069,Recreational Services,Racing,Speedway Motorsports,Speedway Motorsports,Speedway Motorsports,n,19%,0%,0%,0%,7%,31%,9%,0%,64%,66%,0%,0%,4%,0%,0%,0%,0%,13%,20%,0%,0%,0%,0%,0%,0%,75%,Recreational Services,Racing,Speedway Motorsports,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%
794,0,0,US8485771021,Airlines,"Airlines - National, US",SPIRIT AIRLINES,SPIRIT AIRLINES,Spirit,n,39%,1%,0%,0%,58%,34%,9%,100%,82%,84%,20%,0%,8%,0%,0%,0%,0%,13%,74%,0%,71%,20%,0%,0%,0%,65%,Airlines,"Airlines - National, US",Spirit,0%,0%,0%,0%,0%,0%,0%,0%,0%,35%,0%
795,0,403,US84920Y1064,Recreational Products,Sporting Goods,Sportsman's Warehouse Holdings,Sportsman's Warehouse,Sportsman's Warehouse,n,14%,0%,0%,0%,2%,19%,1%,0%,0%,40%,0%,0%,3%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,75%,Recreational Products,Sporting Goods,Sportsman's Warehouse,0%,0%,0%,0%,0%,0%,0%,0%,0%,40%,0%
796,0,0,US25470M1099,Mobile Telecom.,Wireless - US,DISH NETWORK,BOOST MOBILE,Boost Mobile,x,39%,2%,100%,0%,31%,34%,9%,47%,86%,0%,68%,58%,4%,0%,70%,0%,0%,13%,20%,0%,77%,20%,0%,0%,0%,95%,Mobile Telecom.,Wireless - US,Boost Mobile,0%,0%,0%,30%,0%,0%,0%,69%,4%,55%,0%
799,289,291,US85254C3051,Specialty Retailers,Department Store,Stage Stores,Beall's,Beall's,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,58%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,70%,Specialty Retailers,Department Store,Beall's,0%,0%,0%,0%,0%,0%,0%,0%,0%,40%,0%
800,0,0,US85254C3051,Specialty Retailers,Department Store,Stage Stores,Goody's,Goody's,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,58%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,70%,Specialty Retailers,Department Store,Goody's,0%,0%,0%,0%,0%,0%,0%,0%,0%,40%,0%
801,0,0,US85254C3051,Specialty Retailers,Department Store,Stage Stores,Palais Royal,Palais Royal,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,58%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,70%,Specialty Retailers,Department Store,Palais Royal,0%,0%,0%,0%,0%,0%,0%,0%,0%,40%,0%
802,0,0,US85254C3051,Specialty Retailers,Department Store,Stage Stores,Peebles,Peebles,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,58%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,70%,Specialty Retailers,Department Store,Peebles,0%,0%,0%,0%,0%,0%,0%,0%,0%,40%,0%
803,0,0,US85254C3051,Specialty Retailers,Department Store,Stage Stores,STAGE,Stage,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,58%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,70%,Specialty Retailers,Department Store,Stage,0%,0%,0%,0%,0%,0%,0%,0%,0%,40%,0%
804,0,0,US8528572006,Internet,Online Retail,Stamps.com,Stamps.com,Stamps.Com,x,35%,0%,0%,0%,7%,34%,9%,100%,96%,73%,61%,0%,5%,0%,0%,0%,0%,13%,20%,0%,0%,20%,0%,0%,0%,80%,Internet,Online Retail,Stamps.Com,0%,0%,0%,0%,0%,0%,0%,0%,0%,60%,0%
805,0,0,US8550301027,Specialty Retailers,Office Supplies,STAPLES,STAPLES,Staples,n,40%,17%,0%,0%,50%,97%,59%,88%,0%,59%,57%,54%,8%,100%,0%,0%,0%,34%,20%,0%,90%,70%,0%,0%,0%,60%,Specialty Retailers,Office Supplies,Staples,20%,0%,0%,85%,5%,19%,17%,0%,0%,35%,84%
807,0,646,US5719032022,Hotels,Hotel - Midscale,Starwood Hotels & Resorts Worldwide (Marriott),Starwood,Starwood,n,59%,37%,0%,23%,63%,96%,57%,84%,83%,61%,69%,0%,44%,100%,70%,90%,90%,94%,55%,0%,90%,88%,0%,0%,71%,75%,Hotels,Hotel - Midscale,Starwood,40%,31%,0%,95%,42%,58%,10%,69%,4%,45%,91%
808,548,549,US85571Q1022,Broadcast & Entertain,Video,STARZ SR.'A',STARZ,Starz,n,29%,0%,0%,0%,31%,37%,7%,100%,0%,0%,69%,0%,4%,0%,0%,0%,0%,13%,20%,0%,0%,20%,0%,0%,0%,70%,Broadcast & Entertain,Video,Starz,0%,0%,0%,0%,0%,0%,0%,0%,0%,70%,0%
809,454,455,US8583751081,Specialty Retailers,Department Store,Stein Mart,Stein Mart,Stein Mart,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,59%,49%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,70%,Specialty Retailers,Department Store,Stein Mart,0%,0%,0%,0%,0%,0%,0%,0%,0%,40%,0%
810,0,0,US5562691080,Footwear,Apparel - Footwear,STEVEN MADDEN,STEVEN MADDEN,Steven Madden,x,36%,3%,60%,0%,39%,34%,9%,91%,92%,65%,42%,0%,6%,0%,0%,62%,84%,13%,20%,0%,0%,20%,0%,0%,0%,60%,Footwear,Apparel - Footwear,Steven Madden,3%,0%,0%,20%,3%,0%,0%,0%,0%,30%,9%
811,0,527,US86771W1053,Alt. Electricity,Renewable Electricity,Sunrun Inc.,Sunrun Inc.,Sunrun Inc.,n,44%,47%,0%,0%,65%,34%,9%,45%,88%,0%,57%,100%,57%,0%,0%,54%,47%,13%,20%,0%,0%,20%,0%,0%,60%,90%,Alt. Electricity,Renewable Electricity,Sunrun Inc.,69%,0%,0%,30%,3%,53%,64%,0%,0%,85%,38%
812,0,0,US6174464486,Investment Services,Financial Institution,Morgan Stanley,Morgan Stanley,Morgan Stanley,n,57%,60%,0%,100%,48%,100%,28%,80%,94%,0%,98%,0%,8%,100%,60%,82%,62%,28%,20%,0%,0%,91%,0%,31%,80%,50%,Investment Services,Financial Institution,Morgan Stanley,77%,78%,0%,20%,8%,77%,73%,15%,4%,50%,54%
818,0,564,US9111631035,"Food Retail,Wholesale",Grocery,UNITED NATURAL FOODS,SUPERVALU,SuperValu,n,44%,51%,100%,0%,81%,82%,9%,0%,80%,0%,87%,100%,13%,10%,0%,55%,0%,16%,20%,0%,0%,40%,0%,0%,54%,70%,"Food Retail,Wholesale",Grocery,SuperValu,64%,0%,0%,69%,10%,61%,57%,0%,0%,50%,63%
819,189,195,US9111631035,"Food Retail,Wholesale",Pharmacy,UNITED NATURAL FOODS,SUPERVALU PHARMACIES,SuperValu Pharmacies,n,44%,51%,100%,0%,81%,82%,9%,0%,80%,0%,81%,100%,13%,10%,0%,55%,0%,16%,20%,0%,0%,40%,0%,0%,54%,85%,"Food Retail,Wholesale",Pharmacy,SuperValu Pharmacies,64%,0%,0%,69%,10%,61%,57%,0%,0%,55%,63%
823,189,196,US88023U1016,Furnishings,Mattress Company,TEMPUR SEALY INTL.,TEMPUR SEALY INTL.,Temper Sealy,n,40%,42%,0%,0%,44%,48%,9%,0%,86%,53%,0%,0%,10%,0%,0%,68%,73%,13%,20%,0%,0%,20%,0%,0%,0%,85%,Furnishings,Mattress Company,Temper Sealy,3%,0%,0%,20%,3%,0%,0%,0%,0%,50%,26%
824,0,531,US88160R1014,Automobiles,Electric Vehicles,Tesla Motors,Tesla Motors,Tesla,n,54%,23%,0%,0%,53%,44%,9%,100%,93%,63%,67%,0%,50%,100%,0%,55%,50%,13%,20%,0%,0%,20%,0%,0%,0%,60%,Automobiles,Electric Vehicles,Tesla,44%,0%,0%,30%,40%,0%,52%,0%,0%,45%,45%
826,0,429,US56585A1025,Exploration & Prod.,Gas Stations,MARATHON PETROLEUM,USA GASOLINE,USA Gasoline,n,40%,34%,100%,0%,28%,85%,21%,84%,83%,87%,58%,94%,45%,0%,70%,94%,0%,28%,20%,100%,0%,35%,28%,10%,34%,25%,Exploration & Prod.,Gas Stations,USA Gasoline,30%,43%,0%,59%,36%,54%,10%,77%,80%,2%,83%
827,152,154,US8826811098,Restaurants & Bars,Food - Casual Dining,TEXAS ROADHOUSE,TEXAS ROADHOUSE,Texas Roadhouse,n,28%,2%,0%,0%,43%,34%,9%,80%,77%,56%,34%,27%,4%,0%,0%,0%,0%,13%,20%,0%,92%,20%,0%,0%,0%,60%,Restaurants & Bars,Food - Casual Dining,Texas Roadhouse,3%,0%,0%,20%,3%,2%,0%,0%,0%,35%,3%
828,0,616,US2107511030,Specialty Retailers,Office Supplies,The Container Store Group,The Container Store Group,Container Store,n,26%,3%,0%,0%,67%,34%,11%,0%,78%,59%,0%,85%,5%,0%,0%,74%,0%,84%,53%,0%,0%,20%,0%,0%,0%,60%,Specialty Retailers,Office Supplies,Container Store,3%,0%,0%,20%,0%,0%,0%,31%,4%,35%,9%
829,0,665,US35804H1068,"Food Retail,Wholesale",Grocery - Local,The Fresh Market (Apollo Global Management),The Fresh Market,The Fresh Market,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,43%,46%,78%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,75%,"Food Retail,Wholesale",Grocery - Local,The Fresh Market,0%,0%,0%,0%,0%,0%,0%,0%,0%,55%,0%
830,0,0,US8865471085,Specialty Retailers,"Jewelry, Watches, Clocks",Tiffany & Co.,Tiffany & Co.,Tiffany & Co.,x,41%,49%,0%,0%,43%,35%,28%,0%,54%,73%,0%,100%,10%,100%,0%,68%,84%,14%,20%,0%,0%,64%,0%,0%,0%,70%,Specialty Retailers,"Jewelry, Watches, Clocks",Tiffany & Co.,60%,0%,0%,20%,8%,69%,10%,0%,0%,35%,58%
831,0,666,US88677Q1094,Specialty Retailers,Home Improvement - Speciality,Tile Shop Holdings,Tile Shop Holdings,Tile Shop Holdings,n,24%,0%,0%,0%,7%,33%,9%,85%,86%,54%,37%,0%,5%,0%,0%,0%,0%,13%,20%,0%,0%,0%,0%,0%,0%,65%,Specialty Retailers,Home Improvement - Speciality,Tile Shop Holdings,0%,0%,0%,0%,0%,0%,0%,0%,0%,35%,0%
832,0,0,US8868851028,Apparel Retailers,Apparel - Footwear,Tilly's Inc.,Tilly's Inc.,Tilly's Inc.,n,20%,0%,0%,0%,39%,34%,11%,0%,77%,0%,92%,0%,7%,0%,0%,0%,0%,13%,20%,0%,0%,0%,0%,0%,0%,60%,Apparel Retailers,Apparel - Footwear,Tilly's Inc.,0%,0%,0%,0%,0%,0%,0%,0%,0%,30%,0%
834,0,0,US8873173038,Broadcast & Entertain,Entertainment,TIME WARNER,CNN,Cnn,x,38%,9%,0%,0%,49%,55%,10%,72%,0%,81%,92%,0%,9%,100%,0%,94%,0%,34%,20%,0%,73%,40%,0%,36%,42%,85%,Broadcast & Entertain,Entertainment,Cnn,13%,0%,0%,30%,0%,2%,10%,0%,0%,65%,26%
835,0,0,US8873173038,Broadcast & Entertain,Video,TIME WARNER,HULU,Hulu,n,38%,9%,0%,0%,49%,55%,10%,72%,0%,81%,80%,0%,9%,100%,0%,94%,0%,34%,20%,0%,73%,40%,0%,36%,42%,70%,Broadcast & Entertain,Video,Hulu,13%,0%,0%,30%,0%,2%,10%,0%,0%,70%,26%
836,57,60,US88870P1066,Software,Video,TiVo Inc.,TiVo Inc.,TiVo Inc.,n,36%,0%,100%,0%,7%,43%,9%,0%,87%,85%,0%,0%,4%,0%,0%,0%,0%,20%,20%,0%,0%,0%,0%,0%,0%,70%,Software,Video,TiVo Inc.,0%,0%,0%,0%,0%,0%,0%,0%,0%,70%,0%
837,0,619,US8725401090,Apparel Retailers,Department Store,TJX,MARSHALLS,Marshalls,n,55%,52%,0%,0%,79%,45%,39%,78%,76%,56%,62%,0%,8%,100%,0%,55%,73%,14%,20%,0%,90%,20%,74%,38%,63%,70%,Apparel Retailers,Department Store,Marshalls,52%,0%,0%,30%,3%,64%,72%,0%,0%,40%,71%
